libelle_court,libelle_long,libelle_edition,id
'IUMLI','INIT.UTILIS.MATER.-LOGIC.INFMTQ DE L''ETS','Init.utilis.mater.-logic.infmtq de l''ets',1
'IFGSD','INFORMATIQUE DE GESTION DIVERS','Informatique de gestion divers',2
'DOMEC','DOMAINE ECONOMIQUE','Domaine economique',3
'E-GCG','ECONOMIE ET GESTION/CONJOINT','Economie et gestion/conjoint',4
'E-OGS','ECONOMIE ET GESTION','Economie et gestion',5
'E-TKG','ECONOMIE ET TECHNIQUES DE GESTION','Economie et techniques de gestion',6
'E-ONO','ECONOMIE','Economie',7
'PBECO','PROBLEMES ECONOMIQUES','Problemes economiques',8
'E-DRT','ECONOMIE ET DROIT','Economie et droit',9
'CFOEC','COMPLEMENT DE FORMATION ECONOMIQUE','Complement de formation economique',10
'E-GEE','ECONOMIE GENERALE ET ECO.D''ENTREPRISE','Economie generale et eco.d''entreprise',11
'E-EED','ECONOMIE GENERALE, ECO.ENTREPRISE DROIT','Economie generale, eco.entreprise droit',12
'APRMT','APPROFONDISSEMENT METHODOLOGIQUE','Approfondissement methodologique',13
'HIECO','HISTOIRE ECONOMIQUE','Histoire economique',14
'ANMPE','ANALYSE MONETAIRE POLITIQUE ECONOMIQUE','Analyse monetaire politique economique',15
'ODOEC','OPTION A DOMINANTE ECONOMIQUE','Option a dominante economique',16
'E-TDR','ECONOMIE GENERALE ET TOURISTIQUE-DROIT','Economie generale et touristique-droit',17
'E-ODI','ECONOMIE DIVERS','Economie divers',18
'G-FDT','GESTION FINANCIERE DES TRAVAUX','Gestion financiere des travaux',19
'G-FIN','GESTION FINANCIERE','Gestion financiere',20
'G-CAB','GESTION-COMPTABILITE ANALYTIQUE-BUDGETAI','Gestion-comptabilite analytique-budgetai',21
'MOCTB','MODULE ELEMENTAIRE COMPTABILITE','Module elementaire comptabilite',22
'MT-QU','METHODES QUANTITATIVES','Methodes quantitatives',23
'CPT-G','COMPTABILITE ET GESTION','Comptabilite et gestion',24
'FIETB','FINANCEMENT DES ENTR.ET TECHN.BANCAIRES','Financement des entr.et techn.bancaires',25
'CPTTA','COMPTABILITE','Comptabilite',26
'TXSYC','TRAVAUX DE SYNTHESE COMPTABILITE','Travaux de synthese comptabilite',27
'ASPPS','ASPECTS PSYCHO-SOCIAUX ET JURIDIQUES','Aspects psycho-sociaux et juridiques',28
'I-EJU','INITIATION ECONOMIQUE ET JURIDIQUE','Initiation economique et juridique',29
'DIMJE','DIMENSION JURIDICO-ECONOMIQUE.','Dimension juridico-economique.',30
'GREGE','GR(ENT-GEST.-ECO GEN.-E.ENT.-DROIT SOC.)','Gr(ent-gest.-eco gen.-e.ent.-droit soc.)',31
'LGEGE','LEGISLATION-ECONOMIE-GESTION ENTREPRISE','Legislation-economie-gestion entreprise',32
'LGTRS','LEGISLATION DU TRAVAIL ET SECURITE','Legislation du travail et securite',33
'DR-DA','DROIT GENERAL ET DROIT DES ASSURANCES','Droit general et droit des assurances',34
'RGLTT','REGLEMENT.ET LEGIS. TRANSPORTS TOURISME','Reglement.et legis. transports tourisme',35
'DR-CI','DROIT CIVIL','Droit civil',36
'DR-CO','DROIT COMMERCIAL','Droit commercial',37
'SMSBU','SCIENCES MEDICO-SOCIALES ET BUREAUTIQUE','Sciences medico-sociales et bureautique',38
'DRGIM','DROIT GENERAL DE L''IMMOBILIER','Droit general de l''immobilier',39
'DR-LD','DROIT ET LEGISLATION DIVERS','Droit et legislation divers',40
'MA-GI','MATHS APPLIQUES,OUTILS GESTION -INFORMA.','Maths appliques,outils gestion -informa.',41
'APINF','APPLICATIONS INFORMATIQUES','Applications informatiques',42
'TECIF','TECHNOLOGIES INFORMATIQUES','Technologies informatiques',43
'G-INF','GESTION ET INFORMATIQUE','Gestion et informatique',44
'G-INM','GESTION ET INFORMATIQUE HOR MAX','Gestion et informatique hor max',45
'NEGIF','NEGOCIATIONS INFORMATIQUES','Negociations informatiques',46
'ALGLG','ALGORITHME ET LANGAGES','Algorithme et langages',47
'TXAIN','TRAVAUX D''APPLICATION D''INFORMAT.','Travaux d''application d''informat.',48
'ANOIF','ANALYSE ORGANISATION - INFORMATISATION','Analyse organisation - informatisation',49
'IFAPG','INFORMATIQUE APPLIQUEE A LA GESTION','Informatique appliquee a la gestion',50
'ITAGM','INFORMAT.TELEMAT. APPLI. GEST.MERCATIQUE','Informat.telemat. appli. gest.mercatique',51
'OU-GI','OUTILS DE GESTION ET INFORMATIQUE APPLI.','Outils de gestion et informatique appli.',52
'ITDRE','INTRODUCTION AU DROIT DE L''ENTREPRISE','Introduction au droit de l''entreprise',53
'LGSET','LEGISLATION ET SECURITE DU TRAVAIL','Legislation et securite du travail',54
'E-GDR','ECONOMIE,GESTION ET DROIT','Economie,gestion et droit',55
'DR-LS','DROIT, LEGISLATION SOCIALE, ORGA.TRAVAIL','Droit, legislation sociale, orga.travail',56
'DR-TP','DROIT EN TRAVAUX PUBLICS','Droit en travaux publics',57
'LEGIS','LEGISLATION','Legislation',58
'LGSPA','LEGISLATION,SECURITE,PREVENTION ACCIDENT','Legislation,securite,prevention accident',59
'RJCTC','REL.JURIDIQUES CREDIT TRAVAIL CONTENTIEU','Rel.juridiques credit travail contentieu',60
'AECJS','ACTUALITE ECONOMIQ.JURIDIQUE ET SOCIALE','Actualite economiq.juridique et sociale',61
'LGRGS','LEGISLATION-REGLEMENTATION-SECURITE','Legislation-reglementation-securite',62
'DR-SF','DROIT DES SOCIETES, DROIT FISCAL','Droit des societes, droit fiscal',63
'PGXDR','PRINCIPES GENERAUX DU DROIT','Principes generaux du droit',64
'LGDEO','LEGISLATION DEONTOLOGIE','Legislation deontologie',65
'DROIT','DROIT','Droit',66
'I-JUR','INITIATION JURIDIQUE','Initiation juridique',67
'DR-FI','DROIT FISCAL','Droit fiscal',68
'DR-LG','DROIT LEGISLATIF','Droit legislatif',69
'DR-SO','DROIT SOCIAL','Droit social',70
'I-DCO','INITIATION AU DROIT COMMERCIAL','Initiation au droit commercial',71
'E-GLG','ECONOMIE GESTION LEGISLATION','Economie gestion legislation',72
'DR-CC','DROIT CIVIL ET COMMERCIAL','Droit civil et commercial',73
'DR-AP','DROIT APPLIQUE','Droit applique',74
'LGECO','LEGISLATION ET ECONOMIE','Legislation et economie',75
'LGOST','LEGISLATION ET ORG.SCIENT.DU TRAVAIL','Legislation et org.scient.du travail',76
'ATSIN','ACTION SOCIALE ET INSTITUTIONS','Action sociale et institutions',77
'AGTCC','AGENT COMMERCIAL DE CONDUITE','Agent commercial de conduite',78
'VDISQ','VENTE DE DISQUES ET PRODUITS ASSIMILES','Vente de disques et produits assimiles',79
'VCLAV','VENTE CLAVIERS ELECTRON.-INFORM.MUSICALE','Vente claviers electron.-inform.musicale',80
'VBRUN','VENTE DE PRODUITS BRUNS','Vente de produits bruns',81
'E-GSD','ECONOMIE ET GESTION DIVERS','Economie et gestion divers',82
'SDSCI','SECRETARIAT ET DOC. SCIENTIFIQUE','Secretariat et doc. scientifique',83
